title,release_date,popularity,vote_count,vote_average,genres,actor,director
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,134.348,3690,6.1,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[3895, 18918, 27972]",[132876]
나루토 질풍전 극장판 5기 - 블러드 프리즌,2011-07-30,153.675,438,7.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[82055, 210350, 219659]",[116065]
아바타: 물의 길,2022-12-14,757.96,0,0.0,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[8691, 10205, 65731]",[2710]
언터처블: 1%의 우정,2011-11-02,124.236,15161,8.3,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]","[19370, 33161, 78423]",[84425]
테리파이어,2011-08-09,479.681,47,6.7,"[{'id': 27, 'name': '공포'}]","[1375765, 1375767, 1487368]",[933176]
슈퍼배드 2,2013-06-26,150.865,10041,6.9,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[4495, 4589, 41091]",[124747]
어벤져스: 에이지 오브 울트론,2015-04-22,173.081,20592,7.3,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[103, 3223, 74568]",[12891]
어메이징 스파이더맨 2,2014-04-16,125.735,11470,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[134, 37625, 54693]",[87742]
말레피센트,2014-05-28,124.032,11918,7.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[11356, 11701, 18050]",[1032536]
더 울프 오브 월 스트리트,2013-12-25,152.207,20620,8.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[6193, 21007, 234352]",[1032]
다 큰 녀석들 2,2013-07-11,143.145,3597,6.1,"[{'id': 35, 'name': '코미디'}]","[2632, 19292, 32895]",[17494]
겨울왕국,2013-11-20,174.36,14696,7.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[19394, 40462, 221611]",[15774]
Avatar: Creating the World of Pandora,2010-02-07,242.181,26,7.4,"[{'id': 99, 'name': '다큐멘터리'}]","[900, 10964, 1042213]",[1042212]
