,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
4286,로스트 인 더스트,2016-08-11,19.876,3893,7.3,범죄 드라마 스릴러 서부,"[1229, 62064, 11107]",[3055],338766,7.204144450361063
4302,분노의 질주: 더 오리지널,2009-04-02,17.771,6177,6.7,액션 범죄 드라마 스릴러,"[12835, 8167, 17647]",[58189],13804,6.857601081124786
4306,데어 윌 비 블러드,2007-12-26,16.562,5408,8.1,드라마,"[11856, 17142, 18916]",[4762],7345,7.685274336061838
4324,퀸카가 아니어도 좋아,2015-02-20,25.207,4083,6.8,로맨스 코미디,"[52404, 1223726, 98285]",[991868],272693,6.950249677419842
4330,아르고,2012-03-22,23.102,7371,7.3,드라마 스릴러,"[880, 17419, 1903]",[880],68734,7.233760298423977
4368,캡틴 필립스,2013-10-10,22.526,6023,7.6,액션 드라마 스릴러,"[31, 2229, 1261694]",[25598],109424,7.407098564876246
4406,머시니스트,2004-02-09,22.048,4650,7.5,스릴러 드라마,"[3894, 10431, 37946]",[37948],4553,7.321595557563112
4412,에비에이터,2004-12-17,22.344,4554,7.2,드라마,"[6193, 112, 3967]",[1032],2567,7.157694274805536
4438,카사블랑카,1942-11-26,21.377,4459,8.2,드라마 로맨스,"[4110, 4111, 4112]",[4109],289,7.691544599084327
4486,위대한 레보스키,1998-03-06,21.896,9699,7.8,코미디 범죄,"[1229, 1230, 884]",[1223],115,7.602086100799317
4497,엑스 마키나,2015-01-21,26.244,11670,7.6,드라마 SF,"[93210, 227454, 25072]",[2036],264660,7.477123918703954
