,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
4482,썸 오브 올 피어스,2002-05-31,16.347,1422,6.3,스릴러 액션 드라마,"[880, 192, 2505]",[23968],4614,6.3140413276636105
4483,에이트 빌로우,2006-02-17,22.348,1494,7.0,모험 드라마 가족,"[8167, 21089, 56455]",[664],9036,6.508240031085213
4484,내일도 우린 사랑하고 있을까,2020-12-24,21.241,4,6.0,로맨스 드라마,"[150899, 1630178, 2904110]",[2904112],778496,6.318851251218109
4485,Le notti porno nel mondo nº 2,1978-04-20,18.205,12,6.1,드라마,"[101317, 41074, 101604]",[31775],407742,6.318504711964711
4486,위대한 레보스키,1998-03-06,21.896,9699,7.8,코미디 범죄,"[1229, 1230, 884]",[1223],115,7.376410111684832
4487,나의 흑역사 로맨티카 2,2021-09-16,15.637,170,6.6,로맨스 코미디,"[2655420, 2758389, 2670796]",[2205689],790523,6.330949548135711
4488,야성녀 아이비,1992-05-08,14.374,276,5.4,스릴러 드라마,"[69597, 3282, 4139]",[102634],9264,6.258224739845853
4489,언컷 젬스,2019-08-30,20.058,3840,7.1,드라마 스릴러 범죄,"[19292, 1200864, 2371446]",[129561],473033,6.707265255920068
4490,라이프 잇셀프,2018-09-21,18.354,439,7.2,드라마 로맨스,"[25072, 59315, 516]",[15892],446696,6.4085852872227616
4491,페어리 테일 : 봉황의 무녀,2012-08-18,14.366,174,7.3,액션 모험 코미디 판타지 애니메이션,"[223687, 83928, 1221114]",[937799],135531,6.361214622472524
4492,댓 어쿼드 모먼트 : 그 어색한 순간,2014-01-29,21.245,2419,6.1,코미디 로맨스,"[29222, 996701, 135651]",[1211000],225565,6.235088242226558
4493,The Royal Nanny,2022-11-12,23.94,1,6.0,TV 영화 코미디 드라마 로맨스,"[80018, 229557, 21245]",[207180],1028182,6.319097341713004
4494,포제션: 악령의 상자,2012-08-30,16.795,1393,6.0,공포 스릴러,"[47296, 26467, 94482]",[22676],77883,6.234955742988907
4495,타마코 러브 스토리,2014-04-26,24.345,128,7.0,로맨스 애니메이션 코미디,"[1258548, 1258552, 1256108]",[1072778],257475,6.340889727762443
4496,먹이,2007-05-18,18.842,290,5.7,모험 공포 스릴러,"[18354, 27811, 58899]",[16730],14211,6.276180882959397
4497,엑스 마키나,2015-01-21,26.244,11670,7.6,드라마 SF,"[93210, 227454, 25072]",[2036],264660,7.2800418724118305
4498,나인 하프 위크,1986-02-09,23.289,788,6.1,로맨스 드라마,"[2295, 326, 60700]",[7270],10068,6.282227506897399
4499,데이트 앱 사기: 당신을 노린다,2022-02-02,23.923,741,7.0,다큐멘터리 범죄,"[3409041, 2172262, 3409049]",[2489434],923632,6.428210799057369
4500,라틴 아메리카의 밤,1942-08-24,22.539,348,5.9,애니메이션 가족 모험,"[566738, 77619, 5462]",[11427],14906,6.284726350316118
4501,Tadeo Jones y el sótano maldito,2007-04-15,21.289,15,6.0,애니메이션 모험,"[1187863, 1042731]",[1074721],205432,6.317952157713007
4502,워크 오브 셰임,2014-05-02,20.341,1264,5.9,코미디,"[9281, 11006, 94098]",[32593],187596,6.216297352861833
4503,팬도럼,2009-09-08,24.538,1979,6.5,액션 공포 미스테리 SF 스릴러,"[11107, 6065, 55086]",[54559],19898,6.380192901489931
4504,Lavaperros,2020-10-09,20.098,33,6.4,코미디 드라마 범죄,"[1255923, 649814, 2597263]",[1028305],725649,6.319860006950355
